101a731,2026-06-15T19:30:27Z,6.18,24.70,23.50,-50.00,-50.00,98.69,252.54,220.36
101a731,2026-06-15T22:00:27Z,6.14,24.51,23.50,-50.00,-50.00,98.69,252.52,220.90
101a731,2026-06-18T12:00:27Z,6.05,26.14,25.00,-50.00,-50.00,98.69,252.64,221.08
101a731,2026-06-19T18:00:27Z,6.01,25.56,24.20,-50.00,-50.00,98.69,252.51,220.79
101a731,2026-06-19T18:30:27Z,5.99,25.37,24.20,-50.00,-50.00,98.69,252.67,221.18
101a731,2026-06-20T10:30:27Z,6.03,25.85,24.70,-50.00,-50.00,98.69,252.56,221.09
101a731,2026-06-20T18:30:27Z,5.99,25.18,24.00,-50.00,-50.00,98.69,252.25,220.70
101a731,2026-06-20T19:00:27Z,5.97,25.28,24.00,-50.00,-50.00,98.69,252.78,221.18
101a731,2026-06-20T22:30:27Z,5.99,25.08,24.00,-50.00,-50.00,98.69,252.56,220.86
101a731,2026-06-21T03:00:27Z,5.97,25.28,24.20,-50.00,-50.00,98.69,252.78,221.23
101a731,2026-06-21T03:30:27Z,5.97,25.28,24.20,-50.00,-50.00,98.69,252.48,220.85
101a731,2026-06-21T04:00:27Z,5.97,25.28,24.20,-50.00,-50.00,98.69,252.43,220.45
101a731,2026-06-21T11:00:27Z,5.97,24.89,23.70,-50.00,-50.00,98.69,252.32,220.91
101a731,2026-06-21T11:30:27Z,5.97,25.08,23.70,-50.00,-50.00,98.69,252.46,220.89
101a731,2026-06-21T12:30:27Z,5.97,24.80,23.50,-50.00,-50.00,98.69,252.59,221.03
101a731,2026-06-21T18:30:27Z,5.95,24.32,23.20,-50.00,-50.00,98.69,252.70,221.06
101a731,2026-06-21T21:30:27Z,5.95,24.22,23.00,-50.00,-50.00,98.69,252.59,221.01
101a731,2026-06-22T02:30:27Z,5.95,25.56,24.70,-50.00,-50.00,98.69,252.44,220.66
101a731,2026-06-22T03:30:27Z,5.95,25.66,24.70,-50.00,-50.00,98.69,252.50,220.73
101a731,2026-06-22T07:00:27Z,5.95,25.95,25.00,-50.00,-50.00,98.69,252.54,220.94
101a731,2026-06-22T09:00:27Z,5.95,25.85,25.00,-50.00,-50.00,98.69,252.55,220.72
101a731,2026-06-22T10:00:27Z,5.95,25.56,24.50,-50.00,-50.00,98.69,252.49,220.70
101a731,2026-06-22T14:30:27Z,5.99,24.70,23.50,-50.00,-50.00,98.69,252.63,220.87
101a731,2026-06-22T15:00:27Z,5.95,24.41,23.20,-50.00,-50.00,98.69,252.54,220.83
101a731,2026-06-22T16:00:27Z,5.95,24.32,23.20,-50.00,-50.00,98.69,252.56,220.88
101a731,2026-06-22T16:30:27Z,5.95,24.32,23.20,-50.00,-50.00,98.69,252.85,221.08
101a731,2026-06-22T17:30:27Z,5.93,24.13,23.00,-50.00,-50.00,98.69,252.51,220.93
101a731,2026-06-22T18:00:27Z,5.93,24.13,23.00,-50.00,-50.00,98.69,252.64,221.04
101a731,2026-06-22T18:30:27Z,5.95,24.03,23.00,-50.00,-50.00,98.69,252.59,220.84
101a731,2026-06-22T19:30:27Z,5.95,23.93,22.70,-50.00,-50.00,98.69,251.86,221.38
101a731,2026-06-22T20:00:27Z,5.95,23.93,22.70,-50.00,-50.00,98.69,252.84,221.06
101a731,2026-06-22T21:30:27Z,5.95,23.84,22.70,-50.00,-50.00,98.69,252.26,220.57
101a731,2026-06-23T00:30:27Z,5.93,24.60,23.70,-50.00,-50.00,98.69,252.65,220.98
101a731,2026-06-23T01:00:27Z,5.93,24.89,24.00,-50.00,-50.00,98.69,252.65,221.01
101a731,2026-06-23T02:30:27Z,5.93,25.28,24.50,-50.00,-50.00,98.69,252.19,220.25
101a731,2026-06-23T05:00:27Z,5.93,25.08,24.00,-50.00,-50.00,98.69,252.91,222.40
101a731,2026-07-22T08:00:27Z,6.03,32.12,29.60,-50.00,-50.00,98.69,250.21,222.72
101a731,2026-07-22T08:30:27Z,6.03,31.92,30.30,-50.00,-50.00,98.69,252.76,222.00
101a731,2026-07-22T09:30:27Z,6.03,30.18,28.60,-50.00,-50.00,98.69,252.54,220.65
